1994年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
11,226,地心引力,,1053.92万,42.95万,2013,数据纠错,
12,233,速度与激情6,,1292万,31.36万,2013,数据纠错,
13,252,疯狂原始人,,1087.15万,35.55万,2013,数据纠错,
14,253,超人：钢铁之躯,,967.19万,32.75万,2013,数据纠错,
15,263,007：大破天幕杀机,,1080.46万,36.77万,2013,数据纠错,
16,278,星际迷航：暗黑无界,,869.27万,35.07万,2013,数据纠错,
17,284,侏罗纪公园(3D),,902.49万,33.77万,2013,数据纠错,
18,285,雷神2：黑暗世界,,883.52万,37.05万,2013,数据纠错,
19,291,特种部队：全面反击,,847.35万,32.11万,2013,数据纠错,
20,303,霍比特人：意外之旅,,713.02万,25.03万,2013,数据纠错,
2013年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,308,风暴,,--,--,2013,数据纠错,
22,321,天机：富春山居图,,768.5万,30.35万,2013,数据纠错,
23,324,小时代2：青木时代,,950.09万,31.5万,2013,数据纠错,
24,335,一代宗师(2013),,795.11万,31.79万,2013,数据纠错,
25,338,不二神探,,908.55万,34.08万,2013,数据纠错,
26,353,厨子戏子痞子,,857.68万,30.65万,2013,数据纠错,
27,363,无人区,,827.69万,35.12万,2013,数据纠错,
28,370,金蝉脱壳,,807.83万,33.97万,2013,数据纠错,
29,375,金刚狼2,,680.22万,33.89万,2013,数据纠错,
30,381,扫毒,,744.84万,31.49万,2013,数据纠错,
31,413,重返地球,,651.91万,24.25万,2013,数据纠错,
32,422,怪兽大学,,571.6万,24.82万,2013,数据纠错,
33,424,盲探,,650.61万,23.68万,2013,数据纠错,
34,437,虎胆龙威5,,624.72万,29.88万,2013,数据纠错,
35,440,101次求婚(2013),,598.73万,23.19万,2013,数据纠错,
36,453,分手合约,,611.91万,26.75万,2013,数据纠错,
37,465,全民目击,,570.07万,27.86万,2013,数据纠错,
38,471,饥饿游戏2：星火燎原,,532.03万,24.41万,2013,数据纠错,
39,474,惊天危机,,541.43万,20.35万,2013,数据纠错,
40,476,四大名捕2,,473.66万,24.8万,2013,数据纠错,
2014年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,20,变形金刚4：绝迹重生,,4742.92万,93.03万,2014,数据纠错,
2,58,心花路放,,3398万,92.3万,2014,数据纠错,
3,67,西游记之大闹天宫,,2491.9万,59.92万,2014,数据纠错,
4,85,智取威虎山3D,,2149万,78万,2014,数据纠错,
5,105,星际穿越,,2070万,60.41万,2014,数据纠错,
6,113,X战警：逆转未来,,1936.09万,63.21万,2014,数据纠错,
7,115,美国队长2,,1840万,58.15万,2014,数据纠错,
8,119,猩球崛起2：黎明之战,,1931.86万,65.6万,2014,数据纠错,
9,123,爸爸去哪儿,,2187万,50.8万,2014,数据纠错,
10,136,分手大师,,2001.33万,56.24万,2014,数据纠错,
11,145,后会无期,,1966.75万,56.29万,2014,数据纠错,
12,161,银河护卫队,,1578.19万,63.78万,2014,数据纠错,
13,163,美女与野兽,,--,5.65万,2014,数据纠错,
14,164,超凡蜘蛛侠2,,1524.71万,62.79万,2014,数据纠错,
15,165,匆匆那年,,1694万,69万,2014,数据纠错,
16,185,澳门风云,,1623万,49.92万,2014,数据纠错,
17,186,小时代3：刺金时代,,1650.16万,47.31万,2014,数据纠错,
18,190,一步之遥,,1213万,49万,2014,数据纠错,
19,204,哥斯拉,,1267.01万,46.95万,2014,数据纠错,
20,213,霍比特人：史矛革之战,,1135万,40.71万,2014,数据纠错,
2014年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,215,同桌的妳,,1390万,56.65万,2014,数据纠错,
22,217,敢死队3,,1398.33万,57.14万,2014,数据纠错,
23,234,极品飞车,,1071.04万,46.44万,2014,数据纠错,
24,237,京城81号,,1161.28万,37.31万,2014,数据纠错,
25,238,明日边缘,,1080.2万,43.26万,2014,数据纠错,
26,240,北京爱情故事,,1205.02万,42.89万,2014,数据纠错,
27,249,驯龙高手2,,1079.01万,42.85万,2014,数据纠错,
28,255,白发魔女传之明月天国,,1022.04万,39.75万,2014,数据纠错,
29,259,忍者神龟：变种时代,,--,--,2014,数据纠错,
30,286,亲爱的,,--,--,2014,数据纠错,
31,296,神偷奶爸2,,869万,37.58万,2014,数据纠错,
32,304,机械战警,,854.4万,40.24万,2014,数据纠错,
33,314,窃听风云3,,917.38万,41.24万,2014,数据纠错,
34,322,冰雪奇缘,,810万,27.86万,2014,数据纠错,
35,326,沉睡魔咒,,780万,30.36万,2014,数据纠错,
36,328,归来,,853.55万,42.5万,2014,数据纠错,
37,340,微爱之渐入佳境,,--,--,2014,数据纠错,
38,350,超体,,--,--,2014,数据纠错,
39,352,催眠大师,,881万,40.5万,2014,数据纠错,
40,371,马达加斯加的企鹅,,--,--,2014,数据纠错,
2015年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,13,速度与激情7,,--,--,2015,数据纠错,
2,14,捉妖记,,--,--,2015,数据纠错,
3,26,寻龙诀,,--,--,2015,数据纠错,
4,29,港囧,,--,--,2015,数据纠错,
5,34,复仇者联盟2：奥创纪元,,--,--,2015,数据纠错,
6,35,夏洛特烦恼,,--,--,2015,数据纠错,
7,38,侏罗纪世界,,--,--,2015,数据纠错,
8,60,煎饼侠,,--,--,2015,数据纠错,
9,76,澳门风云2,,--,--,2015,数据纠错,
10,77,西游记之大圣归来,,--,--,2015,数据纠错,
11,81,老炮儿,,--,--,2015,数据纠错,
12,88,碟中谍5：神秘国度,,--,--,2015,数据纠错,
13,95,唐人街探案,,--,--,2015,数据纠错,
14,103,霍比特人3：去而复归,,1914万,64.5万,2015,数据纠错,
15,108,天将雄师,,--,--,2015,数据纠错,
16,114,终结者：创世纪,,--,--,2015,数据纠错,
17,122,狼图腾,,--,--,2015,数据纠错,
18,130,鬼吹灯之九层妖塔,,--,--,2015,数据纠错,
19,135,蚁人,,--,--,2015,数据纠错,
20,141,恶棍天使,,--,--,2015,数据纠错,
2015年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,146,末日崩塌,,--,--,2015,数据纠错,
22,166,火星救援,,--,--,2015,数据纠错,
23,173,杀破狼2,,--,--,2015,数据纠错,
24,176,战狼,,--,--,2015,数据纠错,
25,177,007：幽灵党,,--,--,2015,数据纠错,
26,182,哆啦A梦：伴我同行,,--,--,2015,数据纠错,
27,184,超能陆战队,,--,--,2015,数据纠错,
28,192,滚蛋吧！肿瘤君,,--,--,2015,数据纠错,
29,199,小时代4：灵魂尽头,,--,--,2015,数据纠错,
30,200,左耳,,--,--,2015,数据纠错,
31,201,王牌特工：特工学院,,--,--,2015,数据纠错,
32,223,灰姑娘,,--,--,2015,数据纠错,
33,227,小黄人大眼萌,,--,--,2015,数据纠错,
34,228,奔跑吧，兄弟,,--,--,2015,数据纠错,
35,235,百团大战,,--,--,2015,数据纠错,
36,241,钟馗伏魔：雪妖魔灵,,--,--,2015,数据纠错,
37,247,道士下山,,--,--,2015,数据纠错,
38,261,栀子花开2015,,--,--,2015,数据纠错,
39,269,重返20岁,,--,--,2015,数据纠错,
40,273,我的少女时代,,--,--,2015,数据纠错,
2016年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,6,美人鱼,,--,--,2016,数据纠错,
2,32,疯狂动物城,,--,--,2016,数据纠错,
3,33,魔兽,,--,--,2016,数据纠错,
4,49,美国队长3：英雄内战,,--,--,2016,数据纠错,
5,52,西游记之孙悟空三打白骨精,,--,--,2016,数据纠错,
6,55,长城,,--,--,2016,数据纠错,
7,56,湄公河行动,,--,--,2016,数据纠错,
8,63,澳门风云3,,--,--,2016,数据纠错,
9,72,盗墓笔记,,--,--,2016,数据纠错,
10,73,功夫熊猫3,,--,--,2016,数据纠错,
11,75,奇幻森林,,--,--,2016,数据纠错,
12,83,绝地逃亡,,--,--,2016,数据纠错,
13,91,星球大战：原力觉醒,,--,--,2016,数据纠错,
14,94,从你的全世界路过,,--,--,2016,数据纠错,
15,96,叶问3,,--,--,2016,数据纠错,
16,97,X战警：天启,,--,--,2016,数据纠错,
17,100,北京遇上西雅图之不二情书,,--,--,2016,数据纠错,
18,106,奇异博士,,--,--,2016,数据纠错,
19,125,铁道飞虎,,--,--,2016,数据纠错,
20,131,寒战2,,--,--,2016,数据纠错,
2016年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,142,惊天魔盗团2,,--,--,2016,数据纠错,
22,151,蝙蝠侠大战超人：正义黎明,,--,--,2016,数据纠错,
23,156,使徒行者,,--,--,2016,数据纠错,
24,162,神奇动物在哪里,,--,--,2016,数据纠错,
25,168,你的名字。,,--,--,2016,数据纠错,
26,172,大鱼海棠,,--,--,2016,数据纠错,
27,191,愤怒的小鸟,,--,--,2016,数据纠错,
28,195,独立日：卷土重来,,--,--,2016,数据纠错,
29,202,酒国英雄之摆渡人,,--,--,2016,数据纠错,
30,206,我不是潘金莲,,--,--,2016,数据纠错,
31,222,冰川时代：星际碰撞,,--,--,2016,数据纠错,
32,221,谍影重重5,,--,--,2016,数据纠错,
33,224,星际迷航3：超越星辰,,--,--,2016,数据纠错,
34,230,血战钢锯岭,,--,--,2016,数据纠错,
35,254,忍者神龟2,,--,--,2016,数据纠错,
36,257,爱宠大机密,,--,--,2016,数据纠错,
37,258,爱丽丝梦游仙境2：镜中奇遇记,,--,--,2016,数据纠错,
38,260,爵迹,,--,--,2016,数据纠错,
39,262,荒野猎人,,--,--,2016,数据纠错,
40,268,火锅英雄,,--,--,2016,数据纠错,
2017年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,1,战狼2,,--,--,2017,数据纠错,
2,11,速度与激情8,,--,--,2017,数据纠错,
3,17,羞羞的铁拳,,--,--,2017,数据纠错,
4,21,前任3：再见前任,,--,--,2017,数据纠错,
5,23,功夫瑜伽,,--,--,2017,数据纠错,
6,28,西游伏妖篇,,--,--,2017,数据纠错,
7,30,变形金刚5：最后的骑士,,--,--,2017,数据纠错,
8,37,芳华,,--,--,2017,数据纠错,
9,44,摔跤吧！爸爸,,--,--,2017,数据纠错,
10,51,寻梦环游记,,--,--,2017,数据纠错,
11,54,加勒比海盗5：死无对证,,--,--,2017,数据纠错,
12,59,金刚：骷髅岛,,--,--,2017,数据纠错,
13,62,极限特工：终极回归,,--,--,2017,数据纠错,
14,64,生化危机6：终章,,--,--,2017,数据纠错,
15,69,乘风破浪,,--,--,2017,数据纠错,
16,70,神偷奶爸3,,--,--,2017,数据纠错,
17,87,智取威虎山,,--,--,2017,数据纠错,
18,102,蜘蛛侠：英雄归来,,--,--,2017,数据纠错,
19,104,大闹天竺,,--,--,2017,数据纠错,
20,110,雷神3：诸神黄昏,,--,--,2017,数据纠错,
2017年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,111,猩球崛起：终极之战,,--,--,2017,数据纠错,
22,112,金刚狼3：殊死一战,,--,--,2017,数据纠错,
23,127,悟空传,,--,--,2017,数据纠错,
24,128,银河护卫队2,,--,--,2017,数据纠错,
25,129,正义联盟,,--,--,2017,数据纠错,
26,139,情圣,,--,--,2017,数据纠错,
27,149,新木乃伊,,--,--,2017,数据纠错,
28,153,神奇女侠,,--,--,2017,数据纠错,
29,155,一条狗的使命,,--,--,2017,数据纠错,
30,170,追龙,,--,--,2017,数据纠错,
31,180,英伦对决,,--,--,2017,数据纠错,
32,181,三生三世十里桃花,,--,--,2017,数据纠错,
33,183,妖猫传,,--,--,2017,数据纠错,
34,187,熊出没之奇幻空间,,--,--,2017,数据纠错,
35,189,杀破狼·贪狼,,--,--,2017,数据纠错,
36,208,星球大战：侠盗一号,,--,--,2017,数据纠错,
37,211,王牌特工2：黄金圈,,--,--,2017,数据纠错,
38,216,缝纫机乐队,,--,--,2017,数据纠错,
39,229,全球风暴,,--,--,2017,数据纠错,
40,239,星际特工：千星之城,,--,--,2017,数据纠错,
2018年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,5,红海行动,,--,--,2018,数据纠错,
2,7,唐人街探案2,,--,--,2018,数据纠错,
3,9,我不是药神,,--,--,2018,数据纠错,
4,12,西虹市首富,,--,--,2018,数据纠错,
5,15,复仇者联盟3：无限战争,,--,--,2018,数据纠错,
6,16,捉妖记2,,--,--,2018,数据纠错,
7,19,海王,,--,--,2018,数据纠错,
8,22,毒液：致命守护者,,--,--,2018,数据纠错,
9,25,侏罗纪世界2,,--,--,2018,数据纠错,
10,40,头号玩家,,--,--,2018,数据纠错,
11,41,后来的我们,,--,--,2018,数据纠错,
12,42,一出好戏,,--,--,2018,数据纠错,
13,47,无双,,--,--,2018,数据纠错,
14,50,碟中谍6：全面瓦解,,--,--,2018,数据纠错,
15,68,巨齿鲨,,--,--,2018,数据纠错,
16,74,狂暴巨兽,,--,--,2018,数据纠错,
17,82,超时空同居,,--,--,2018,数据纠错,
18,92,蚁人2：黄蜂女现身,,--,--,2018,数据纠错,
19,99,无名之辈,,--,--,2018,数据纠错,
20,107,无问西东,,--,--,2018,数据纠错,
2018年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,109,神秘巨星,,--,--,2018,数据纠错,
22,116,西游记女儿国,,--,--,2018,数据纠错,
23,137,摩天营救,,--,--,2018,数据纠错,
24,140,黑豹,,--,--,2018,数据纠错,
25,143,来电狂响,,--,--,2018,数据纠错,
26,147,环太平洋：雷霆再起,,--,--,2018,数据纠错,
27,148,影,,--,--,2018,数据纠错,
28,158,狄仁杰之四大天王,,--,--,2018,数据纠错,
29,159,熊出没之变形记,,--,--,2018,数据纠错,
30,160,李茶的姑妈,,--,--,2018,数据纠错,
31,167,邪不压正,,--,--,2018,数据纠错,
32,175,爱情公寓,,--,--,2018,数据纠错,
33,193,动物世界,,--,--,2018,数据纠错,
34,196,古墓丽影：源起之战,,--,--,2018,数据纠错,
35,198,勇敢者游戏：决战丛林,,--,--,2018,数据纠错,
36,207,厉害了，我的国,,--,--,2018,数据纠错,
37,225,反贪风暴3,,--,--,2018,数据纠错,
38,231,蜘蛛侠：平行宇宙,,--,--,2018,数据纠错,
39,251,神奇动物：格林德沃之罪,,--,--,2018,数据纠错,
40,264,“大”人物,,--,--,2018,数据纠错,
2019年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,2,哪吒之魔童降世,,--,--,2019,数据纠错,
2,3,流浪地球,,--,--,2019,数据纠错,
3,4,复仇者联盟4：终局之战,,--,--,2019,数据纠错,
4,8,我和我的祖国,,--,--,2019,数据纠错,
5,10,中国机长,,--,--,2019,数据纠错,
6,18,疯狂的外星人,,--,--,2019,数据纠错,
7,24,飞驰人生,,--,--,2019,数据纠错,
8,27,烈火英雄,,--,--,2019,数据纠错,
9,31,少年的你,,--,--,2019,数据纠错,
10,36,速度与激情：特别行动,,--,--,2019,数据纠错,
11,39,蜘蛛侠：英雄远征,,--,--,2019,数据纠错,
12,45,扫毒2天地对决,,--,--,2019,数据纠错,
13,53,误杀,,--,--,2019,数据纠错,
14,57,叶问4,,--,--,2019,数据纠错,
15,61,大黄蜂,,--,--,2019,数据纠错,
16,65,攀登者,,--,--,2019,数据纠错,
17,71,惊奇队长,,--,--,2019,数据纠错,
18,79,比悲伤更悲伤的故事,,--,--,2019,数据纠错,
19,80,哥斯拉2：怪兽之王,,--,--,2019,数据纠错,
20,84,阿丽塔：战斗天使,,--,--,2019,数据纠错,
2019年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,89,银河补习班,,--,--,2019,数据纠错,
22,90,冰雪奇缘2,,--,--,2019,数据纠错,
23,93,狮子王,,--,--,2019,数据纠错,
24,98,反贪风暴4,,--,--,2019,数据纠错,
25,120,熊出没·原始时代,,--,--,2019,数据纠错,
26,124,使徒行者2：谍影行动,,--,--,2019,数据纠错,
27,132,宠爱,,--,--,2019,数据纠错,
28,144,大侦探皮卡丘,,--,--,2019,数据纠错,
29,150,新喜剧之王,,--,--,2019,数据纠错,
30,203,千与千寻,,--,--,2019,数据纠错,
31,210,绿皮书,,--,--,2019,数据纠错,
32,220,白蛇：缘起,,--,--,2019,数据纠错,
33,236,最好的我们,,--,--,2019,数据纠错,
34,244,X战警：黑凤凰,,--,--,2019,数据纠错,
35,248,诛仙Ⅰ,,--,--,2019,数据纠错,
36,267,何以为家,,--,--,2019,数据纠错,
37,270,阿拉丁,,--,--,2019,数据纠错,
38,271,驯龙高手3,,--,--,2019,数据纠错,
39,281,终结者：黑暗命运,,--,--,2019,数据纠错,
40,283,老师·好,,--,--,2019,数据纠错,
2020年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,695,变身特工,,--,--,2020,数据纠错,
2,932,美丽人生,,--,--,2020,数据纠错,
3,1028,紫罗兰永恒花园 外传：永远与自动手记人偶,,--,--,2020,数据纠错,
4,1045,鲨海逃生,,--,--,2020,数据纠错,
5,1188,熊出没·狂野大陆,,--,--,2020,数据纠错,
6,1639,为家而战,,--,--,2020,数据纠错,
7,1687,灭绝,,--,--,2020,数据纠错,
8,2314,理查德·朱维尔的哀歌,,--,--,2020,数据纠错,
9,2661,致敬英雄,,--,--,2020,数据纠错,
10,2907,士兵顺溜：兵王争锋,,--,--,2020,数据纠错,
11,3114,狐踪谍影,,--,--,2020,数据纠错,
12,3117,守望人,,--,--,2020,数据纠错,
13,3171,野猪,,--,--,2020,数据纠错,
14,3345,那人那事,,--,--,2020,数据纠错,
15,3549,红色圩场,,--,--,2020,数据纠错,
16,3585,蕃薯浇米,,--,--,2020,数据纠错,
17,3593,武圣关公,,--,--,2020,数据纠错,
18,3612,紫罗兰永恒花园外传：永远与自动手记人偶,,--,--,2020,数据纠错,
19,3730,无影之镜,,--,--,2020,数据纠错,
20,3758,中华熊猫,,--,--,2020,数据纠错,
2020年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
21,3866,阳光下的少年之我的无色世界,,--,--,2020,数据纠错,
22,3881,我和我的小伙伴们,,--,--,2020,数据纠错,
23,3954,沂蒙之恋,,--,--,2020,数据纠错,
24,4003,佛罗伦萨与乌菲兹美术馆3D,,--,--,2020,数据纠错,
